,Viscosity,Angular velocity, Speed,Torque,Shear Stress,Shear Rate,Temperature
390,0.03675658913082655,18.84955592153876,180.0,0.541,7.772457371671567,105.72876259012104,22.0
391,0.03675658913082655,18.84955592153876,180.0,0.541,7.772457371671567,105.72876259012104,22.0
408,0.036505203955624954,20.943951023931955,200.0,0.597,8.577000094062708,117.47640287791226,22.0
409,0.03644405621030565,20.943951023931955,200.0,0.596,8.562633259734294,117.47640287791226,22.0
410,0.036505203955624954,20.943951023931955,200.0,0.597,8.577000094062708,117.47640287791226,22.0
411,0.036505203955624954,20.943951023931955,200.0,0.597,8.577000094062708,117.47640287791226,22.0
412,0.03644405621030565,20.943951023931955,200.0,0.596,8.562633259734294,117.47640287791226,22.0
10,0.03974603445754812,1.2566370614359172,12.0,0.039,0.5603065388081166,7.048584172674736,22.1
11,0.03872690536889303,1.2566370614359172,12.0,0.038,0.5459397044797034,7.048584172674736,22.1
12,0.03872690536889303,1.2566370614359172,12.0,0.038,0.5459397044797034,7.048584172674736,22.1
13,0.03872690536889303,1.2566370614359172,12.0,0.038,0.5459397044797034,7.048584172674736,22.1
14,0.03872690536889303,1.2566370614359172,12.0,0.038,0.5459397044797034,7.048584172674736,22.1
15,0.03872690536889303,1.2566370614359172,12.0,0.038,0.5459397044797034,7.048584172674736,22.1
16,0.03872690536889303,1.2566370614359172,12.0,0.038,0.5459397044797034,7.048584172674736,22.1
17,0.03872690536889303,1.2566370614359172,12.0,0.038,0.5459397044797034,7.048584172674736,22.1
18,0.03872690536889303,1.2566370614359172,12.0,0.038,0.5459397044797034,7.048584172674736,22.1
35,0.03956618814778546,1.7802358370342162,17.0,0.055,0.7901758880627286,9.985494244622542,22.1
36,0.03956618814778546,1.7802358370342162,17.0,0.055,0.7901758880627286,9.985494244622542,22.1
37,0.040285573386836096,1.7802358370342162,17.0,0.055999999999999994,0.8045427223911418,9.985494244622542,22.1
38,0.040285573386836096,1.7802358370342162,17.0,0.055999999999999994,0.8045427223911418,9.985494244622542,22.1
55,0.040023978754454057,2.3038346126325147,22.0,0.07200000000000001,1.0344120716457539,12.922404316570347,22.1
56,0.040579867348265915,2.3038346126325147,22.0,0.073,1.048778905974167,12.922404316570347,22.1
57,0.04113575594207779,2.3038346126325147,22.0,0.07400000000000001,1.0631457403025806,12.922404316570347,22.1
58,0.040579867348265915,2.3038346126325147,22.0,0.073,1.048778905974167,12.922404316570347,22.1
59,0.040023978754454057,2.3038346126325147,22.0,0.07200000000000001,1.0344120716457539,12.922404316570347,22.1
76,0.040357511910741176,3.1415926535897927,30.0,0.099,1.4223165985129116,17.621460431686835,22.1
77,0.040357511910741176,3.1415926535897927,30.0,0.099,1.4223165985129116,17.621460431686835,22.1
78,0.039542208639817104,3.1415926535897927,30.0,0.09699999999999999,1.393582929856085,17.621460431686835,22.1
79,0.03994986027527914,3.1415926535897927,30.0,0.098,1.4079497641844982,17.621460431686835,22.1
80,0.03994986027527914,3.1415926535897927,30.0,0.098,1.4079497641844982,17.621460431686835,22.1
81,0.03994986027527914,3.1415926535897927,30.0,0.098,1.4079497641844982,17.621460431686835,22.1
82,0.039542208639817104,3.1415926535897927,30.0,0.09699999999999999,1.393582929856085,17.621460431686835,22.1
83,0.039542208639817104,3.1415926535897927,30.0,0.09699999999999999,1.393582929856085,17.621460431686835,22.1
100,0.03974603445754812,4.1887902047863905,40.0,0.13,1.8676884626937222,23.495280575582452,22.1
101,0.04005177318414464,4.1887902047863905,40.0,0.131,1.8820552970221354,23.495280575582452,22.1
102,0.03974603445754812,4.1887902047863905,40.0,0.13,1.8676884626937222,23.495280575582452,22.1
103,0.03944029573095159,4.1887902047863905,40.0,0.129,1.853321628365309,23.495280575582452,22.1
104,0.04005177318414464,4.1887902047863905,40.0,0.131,1.8820552970221354,23.495280575582452,22.1
105,0.04005177318414464,4.1887902047863905,40.0,0.131,1.8820552970221354,23.495280575582452,22.1
106,0.03974603445754812,4.1887902047863905,40.0,0.13,1.8676884626937222,23.495280575582452,22.1
123,0.03962373896690951,5.235987755982989,50.0,0.162,2.3274271612029462,29.369100719478066,22.1
124,0.03986832994818673,5.235987755982989,50.0,0.163,2.3417939955313596,29.369100719478066,22.1
125,0.039134557004355065,5.235987755982989,50.0,0.16,2.2986934925461195,29.369100719478066,22.1
126,0.03962373896690951,5.235987755982989,50.0,0.162,2.3274271612029462,29.369100719478066,22.1
127,0.03962373896690951,5.235987755982989,50.0,0.162,2.3274271612029462,29.369100719478066,22.1
128,0.03962373896690951,5.235987755982989,50.0,0.162,2.3274271612029462,29.369100719478066,22.1
129,0.03962373896690951,5.235987755982989,50.0,0.162,2.3274271612029462,29.369100719478066,22.1
130,0.039134557004355065,5.235987755982989,50.0,0.16,2.2986934925461195,29.369100719478066,22.1
131,0.03986832994818673,5.235987755982989,50.0,0.163,2.3417939955313596,29.369100719478066,22.1
132,0.03937914798563229,5.235987755982989,50.0,0.161,2.313060326874533,29.369100719478066,22.1
149,0.0393383828220861,6.283185307179585,60.0,0.193,2.772799025383757,35.24292086337367,22.1
150,0.03913455700435508,6.283185307179585,60.0,0.192,2.7584321910553435,35.24292086337367,22.0
151,0.039542208639817104,6.283185307179585,60.0,0.19399999999999998,2.78716585971217,35.24292086337367,22.0
152,0.03913455700435508,6.283185307179585,60.0,0.192,2.7584321910553435,35.24292086337367,22.0
153,0.0393383828220861,6.283185307179585,60.0,0.193,2.772799025383757,35.24292086337367,22.1
154,0.03913455700435508,6.283185307179585,60.0,0.192,2.7584321910553435,35.24292086337367,22.1
155,0.039542208639817104,6.283185307179585,60.0,0.19399999999999998,2.78716585971217,35.24292086337367,22.1
156,0.03913455700435508,6.283185307179585,60.0,0.192,2.7584321910553435,35.24292086337367,22.1
157,0.0393383828220861,6.283185307179585,60.0,0.193,2.772799025383757,35.24292086337367,22.1
174,0.03878514131681619,7.330382858376184,70.0,0.222,3.1894372209077413,41.11674100726929,22.0
175,0.038959849160585626,7.330382858376184,70.0,0.223,3.203804055236154,41.11674100726929,22.0
176,0.03878514131681619,7.330382858376184,70.0,0.222,3.1894372209077413,41.11674100726929,22.0
177,0.03878514131681619,7.330382858376184,70.0,0.222,3.1894372209077413,41.11674100726929,22.0
178,0.039134557004355065,7.330382858376184,70.0,0.22399999999999998,3.218170889564567,41.11674100726929,22.0
179,0.03861043347304674,7.330382858376184,70.0,0.221,3.1750703865793275,41.11674100726929,22.0
180,0.038959849160585626,7.330382858376184,70.0,0.223,3.203804055236154,41.11674100726929,22.0
181,0.038959849160585626,7.330382858376184,70.0,0.223,3.203804055236154,41.11674100726929,22.0
182,0.03878514131681619,7.330382858376184,70.0,0.222,3.1894372209077413,41.11674100726929,22.1
199,0.038370210187863754,8.377580409572781,80.0,0.251,3.606075416431725,46.990561151164904,22.0
200,0.03852307955116202,8.377580409572781,80.0,0.252,3.6204422507601386,46.990561151164904,22.0
201,0.03852307955116202,8.377580409572781,80.0,0.252,3.6204422507601386,46.990561151164904,22.0
202,0.038370210187863754,8.377580409572781,80.0,0.251,3.606075416431725,46.990561151164904,22.0
203,0.03852307955116202,8.377580409572781,80.0,0.252,3.6204422507601386,46.990561151164904,22.0
204,0.03852307955116202,8.377580409572781,80.0,0.252,3.6204422507601386,46.990561151164904,22.0
205,0.038370210187863754,8.377580409572781,80.0,0.251,3.606075416431725,46.990561151164904,22.1
206,0.03852307955116202,8.377580409572781,80.0,0.252,3.6204422507601386,46.990561151164904,22.0
223,0.038319253733431,9.42477796076938,90.0,0.282,4.0514472806125355,52.86438129506052,22.0
224,0.038319253733431,9.42477796076938,90.0,0.282,4.0514472806125355,52.86438129506052,22.0
225,0.038183369854943666,9.42477796076938,90.0,0.281,4.037080446284123,52.86438129506052,22.0
226,0.038183369854943666,9.42477796076938,90.0,0.281,4.037080446284123,52.86438129506052,22.0
227,0.038183369854943666,9.42477796076938,90.0,0.281,4.037080446284123,52.86438129506052,22.0
244,0.03803389758860758,10.471975511965978,100.0,0.311,4.46808547613652,58.73820143895613,22.1
245,0.03803389758860758,10.471975511965978,100.0,0.311,4.46808547613652,58.73820143895613,22.1
246,0.03791160209796897,10.471975511965978,100.0,0.31,4.4537186418081065,58.73820143895613,22.1
247,0.03791160209796897,10.471975511965978,100.0,0.31,4.4537186418081065,58.73820143895613,22.1
248,0.03791160209796897,10.471975511965978,100.0,0.31,4.4537186418081065,58.73820143895613,22.1
249,0.03803389758860758,10.471975511965978,100.0,0.311,4.46808547613652,58.73820143895613,22.1
266,0.03785336615004582,10.995574287564276,105.0,0.325,4.669221156734305,61.67511151090394,22.0
267,0.03785336615004582,10.995574287564276,105.0,0.325,4.669221156734305,61.67511151090394,22.0
268,0.03773689425419953,10.995574287564276,105.0,0.324,4.6548543224058925,61.67511151090394,22.0
269,0.03773689425419953,10.995574287564276,105.0,0.324,4.6548543224058925,61.67511151090394,22.0
270,0.03773689425419953,10.995574287564276,105.0,0.324,4.6548543224058925,61.67511151090394,22.1
271,0.03785336615004582,10.995574287564276,105.0,0.325,4.669221156734305,61.67511151090394,22.1
272,0.03785336615004582,10.995574287564276,105.0,0.325,4.669221156734305,61.67511151090394,22.1
273,0.03785336615004582,10.995574287564276,105.0,0.325,4.669221156734305,61.67511151090394,22.1
274,0.03785336615004582,10.995574287564276,105.0,0.325,4.669221156734305,61.67511151090394,22.1
275,0.03773689425419953,10.995574287564276,105.0,0.324,4.6548543224058925,61.67511151090394,22.1
292,0.037402037553641444,12.56637061435917,120.0,0.36700000000000005,5.272628198527662,70.48584172674734,22.1
293,0.03750395046250695,12.56637061435917,120.0,0.368,5.286995032856075,70.48584172674734,22.1
294,0.037402037553641444,12.56637061435917,120.0,0.36700000000000005,5.272628198527662,70.48584172674734,22.1
295,0.03750395046250695,12.56637061435917,120.0,0.368,5.286995032856075,70.48584172674734,22.1
296,0.037402037553641444,12.56637061435917,120.0,0.36700000000000005,5.272628198527662,70.48584172674734,22.1
297,0.037402037553641444,12.56637061435917,120.0,0.36700000000000005,5.272628198527662,70.48584172674734,22.1
298,0.037402037553641444,12.56637061435917,120.0,0.36700000000000005,5.272628198527662,70.48584172674734,22.1
315,0.03714159345320736,14.137166941154069,135.0,0.41,5.890402074649431,79.29657194259077,22.1
